$D:\!USERS\MCiemiorek\rozciaganie23_05_23temppok.zs2
Data                                    23.05.2023
Oznaczenie próby                        
Gruboœæ próby                           0.98 mm
Szerokoœæ próby                         2.1 mm
Prêdkoœæ do koñca badania               0.198 mm/min
$
    Si³a standardowa;   Droga standardowa;        Czas badania;                Czas;Odleg³oœæ pomiêdzy u
  6.289054393768e+00;  0.000000000000e+00;  0.000000000000e+00;  5.094850000001e+00;  3.468894366005e-01
  6.243491649628e+00; -4.110149166081e-05;  4.999999999927e-02;  5.144850000001e+00;  3.468483351089e-01
  6.247432231903e+00; -4.110185909667e-05;  1.499999999996e-01;  5.244850000001e+00;  3.468483347414e-01
  6.223445415497e+00; -4.110185909667e-05;  2.500000000000e-01;  5.344850000001e+00;  3.468483347414e-01
  6.183726787567e+00; -1.229732879438e-04;  3.499999999985e-01;  5.444850000000e+00;  3.467664633126e-01
  6.238383769989e+00; -4.110222289455e-05;  4.499999999989e-01;  5.544850000000e+00;  3.468483343776e-01
  6.513652324677e+00;  4.090539296158e-04;  5.499999999993e-01;  5.644850000001e+00;  3.472984905301e-01
  6.746013164520e+00;  9.004196035676e-04;  6.499999999996e-01;  5.744850000001e+00;  3.477898562041e-01
  6.800900936127e+00;  1.186803565361e-03;  7.500000000000e-01;  5.844850000001e+00;  3.480762401659e-01
  6.919217586517e+00;  1.554964692332e-03;  8.499999999985e-01;  5.944850000000e+00;  3.484444012929e-01
  6.965909481049e+00;  1.841941033490e-03;  9.499999999989e-01;  6.044850000000e+00;  3.487313776340e-01
  7.069394588470e+00;  2.210174920037e-03;  1.049999999999e+00;  6.144850000001e+00;  3.490996115206e-01
  7.168439388275e+00;  2.537515945733e-03;  1.150000000000e+00;  6.244850000001e+00;  3.494269525463e-01
  7.248151302338e+00;  2.865333575755e-03;  1.250000000000e+00;  6.344850000001e+00;  3.497547701763e-01
  7.325421810150e+00;  3.192819654942e-03;  1.349999999999e+00;  6.444850000000e+00;  3.500822562555e-01
  7.417386531830e+00;  3.561074845493e-03;  1.449999999999e+00;  6.544850000000e+00;  3.504505114460e-01
  7.470921993256e+00;  3.888726700097e-03;  1.549999999999e+00;  6.644850000001e+00;  3.507781633006e-01
  7.558171749115e+00;  4.216046538204e-03;  1.650000000000e+00;  6.744850000001e+00;  3.511054831387e-01
  7.619023799896e+00;  4.502762574703e-03;  1.750000000000e+00;  6.844850000001e+00;  3.513921991752e-01
  7.684651851654e+00;  4.911888856441e-03;  1.849999999999e+00;  6.944850000000e+00;  3.518013254570e-01
  7.732656002045e+00;  5.116632208228e-03;  1.949999999999e+00;  7.044850000000e+00;  3.520060688087e-01
  7.813817501068e+00;  5.485219880939e-03;  2.049999999999e+00;  7.144850000001e+00;  3.523746564815e-01
  7.873822689056e+00;  5.853287409991e-03;  2.150000000000e+00;  7.244850000001e+00;  3.527427240105e-01
  7.953076839447e+00;  6.180939264596e-03;  2.250000000000e+00;  7.344850000001e+00;  3.530703758651e-01
  8.008881568909e+00;  6.467677187175e-03;  2.349999999999e+00;  7.444850000000e+00;  3.533571137877e-01
  8.102967262268e+00;  6.876131519675e-03;  2.449999999999e+00;  7.544850000000e+00;  3.537655681202e-01
  8.176812171936e+00;  7.163584232330e-03;  2.549999999999e+00;  7.644850000001e+00;  3.540530208329e-01
  8.244744300842e+00;  7.449946831912e-03;  2.650000000000e+00;  7.744850000001e+00;  3.543393834324e-01
  8.351586341858e+00;  7.859281264246e-03;  2.750000000000e+00;  7.844850000001e+00;  3.547487178648e-01
  8.434716224670e+00;  8.105105720460e-03;  2.849999999999e+00;  7.944850000000e+00;  3.549945423210e-01
  8.533371925354e+00;  8.473527617753e-03;  2.949999999999e+00;  8.044850000000e+00;  3.553629642183e-01
  8.565649986267e+00;  8.759911172092e-03;  3.049999999999e+00;  8.144850000001e+00;  3.556493477726e-01
  8.662251472473e+00;  9.169434197247e-03;  3.150000000000e+00;  8.244850000001e+00;  3.560588707978e-01
  8.745404243469e+00;  9.415049105883e-03;  3.250000000000e+00;  8.344850000001e+00;  3.563044857064e-01
  8.868206977844e+00;  9.824218228459e-03;  3.349999999999e+00;  8.444850000000e+00;  3.567136548290e-01
  8.951077461243e+00;  1.011078804731e-02;  3.449999999999e+00;  8.544850000000e+00;  3.570002246478e-01
  9.041226387024e+00;  1.039750594646e-02;  3.549999999999e+00;  8.644850000001e+00;  3.572869425470e-01
  9.157773017883e+00;  1.080667506903e-02;  3.650000000000e+00;  8.744850000001e+00;  3.576961116696e-01
  9.251751899719e+00;  1.113401632756e-02;  3.750000000000e+00;  8.844850000001e+00;  3.580234529281e-01
  9.346356391907e+00;  1.146174035966e-02;  3.849999999999e+00;  8.944850000000e+00;  3.583511769602e-01
  9.417874336243e+00;  1.174821797758e-02;  3.949999999999e+00;  9.044850000000e+00;  3.586376545781e-01
  9.508954048157e+00;  1.211680471897e-02;  4.049999999999e+00;  9.144850000001e+00;  3.590062413195e-01
